,year featured,track_name,track_popularity,release_date,playlist_id,playlist_name,lead_artist,supporting_artists
29OrKlVi8EM1u8VDIlF4qO,2019,Place Your Hands,53,2003-01-19,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Reef,
7Cuk8jsPPoNYQWXK9XRFvG,2019,September,70,2018-04-17,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,"Earth, Wind & Fire",
7tqhbajSfrz2F7E1Z75ASX,2019,Ain't No Mountain High Enough,81,1967-08-29,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Marvin Gaye,"Tammi Terrell, "
5LxvwujISqiB8vpRYv887S,2019,I Want You Back,77,1969-12-18,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,The Jackson 5,
2SAqBLGA283SUiwJ3xOUVI,2019,Laugh Now Cry Later (feat. Lil Durk),83,2020-08-14,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Drake,"Lil Durk, "
0lnxrQAd9ZxbhBBe7d8FO8,2019,MMMBop,70,1997-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Hanson,
5YWP23fhLuBR7adVav91Nb,2019,Pack Up,40,2010,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Eliza Doolittle,
2ia7iiEtpiOL2ZVuWxBZGB,2019,I Will Never Let You Down,67,2014-03-31,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Rita Ora,
6CU0zWIWVTEnmWpSjVHM93,2019,You Gotta Be,67,1994-04-27,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Des'ree,
7yq4Qj7cqayVTp3FF9CWbm,2019,Riptide,81,2014-09-08,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Vance Joy,
4VyU9Tg4drTj2mOUZHSK2u,2019,"Let's Hear It for the Boy - From ""Footloose"" Original Soundtrack",66,2016-04-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Deniece Williams,
2bNivLleNjHDgPonfchAfo,2019,Bright Idea,47,2006-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Orson,
4cluDES4hQEUhmXj6TXkSo,2019,What Makes You Beautiful,83,2012-05-25,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,One Direction,
1gihuPhrLraKYrJMAEONyc,2019,Feel So Close - Radio Edit,80,2012-10-29,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Calvin Harris,
6n7rJUcwmQDestMYXoSoZF,2019,All Cried Out (feat. Alex Newell) - Radio Edit,64,2015-04-10,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Blonde,"Alex Newell, "
1k0HaXwqnev6ITPjYqvtxF,2019,Between You and Me,49,2018-08-10,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,One Bit,"Louisa, "
67ncFJWaIbJdqZl1bpEppz,2019,Movin' on Up,64,1991-09-23,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Primal Scream,
6lD9nDl7jBUSIPDMAMZjuD,2019,Anywhere,60,2018-06-15,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Sigma,"Louis III, "
6JV2JOEocMgcZxYSZelKcc,2019,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",77,2016-05-06,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Justin Timberlake,
0GO8y8jQk1PkHzS31d699N,2019,Tongue Tied,81,2011-09-02,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Grouplove,
4Qrxdjj3nFhjrqcnUU5r6a,2019,Shine,56,2015-07-10,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Years & Years,
4yrM5BVyJzy5Ed4GPO6e8j,2019,I Wanna Be Your Lover,60,1979-10-19,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Prince,
5xC8uOesnn0udeXAYlAnoY,2019,Alright,72,1995-05-15,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Supergrass,
30yn7KuCLbXGCXxjsB0C8K,2019,Super Duper Love,64,2003-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Joss Stone,
4agp6oHofabdUedr0B1krj,2019,Steal My Sunshine,60,1999-05-25,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,LEN,
4kLLWz7srcuLKA7Et40PQR,2019,I Gotta Feeling,80,2009-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Black Eyed Peas,
5o7TXypciBNWzWLE6Hdzuz,2019,Call My Name,60,2012-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Cheryl,
6z7qW5Xq8NOSDUtAFmJr37,2019,Brokenhearted,50,2012-07-20,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Karmin,
4DX82Vc8qAH4jJPvKxvwg6,2019,Move Your Feet,68,2002-04-03,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Junior Senior,
2LrTrVQc3jblY2lh61zNsu,2019,When I Was A Youngster,54,2011-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Rizzle Kicks,
2RlgNHKcydI9sayD2Df2xp,2019,Mr. Blue Sky,81,1977,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Electric Light Orchestra,
497Fkp3gRiGrRMoqBTDudr,2019,California - Tchad Blake Mix,64,2002,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Phantom Planet,
3KZcrZ36LW9RnChK1iIkth,2019,Send My Love (To Your New Lover),4,2015-11-20,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Adele,
32OlwWuMpZ6b0aN2RZOeMS,2019,Uptown Funk (feat. Bruno Mars),83,2015-01-12,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Mark Ronson,"Bruno Mars, "
7hhclvecTpNxNNRCk7NUoc,2019,Little L,67,2001-08-29,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Jamiroquai,
5dKBaysNJtfpyNTRa5lqDb,2020,A-Punk,6,2008-01-27,37i9dQZF1DX3ayfz12wpQs,Sand Between My Toes,Vampire Weekend,
77jaOS5YDCDGPto5Pomi4h,2019,I Wanna Feel - Radio Edit,59,2014-05-23,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Secondcity,
2IFl6p0LoIfIZOn5IaxZOO,2019,Sax,54,2015-12-03,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Fleur East,
4pbyDPjFgfPqFTcIMC8xpK,2019,Rock DJ,70,2000-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Robbie Williams,
0lWEatZXBBYUzEQX5aMeSj,2019,Like Sugar,59,2019-02-15,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Chaka Khan,
3x2YIvkLcxvZQsA5x6xyIR,2019,Boom Clap,51,2014-10-21,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Charli XCX,
1wgqttlPacpvmX5DKVboOa,2019,Paper Planes,5,2007-08-20,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,M.I.A.,
5yDL13y5giogKs2fSNf7sj,2019,Glad You Came,76,2011-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,The Wanted,
3cfOd4CMv2snFaKAnMdnvK,2019,All Star,79,1999-06-08,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Smash Mouth,
3g86N0SqyfxEVNMHlmW3RE,2019,Busy Earnin',1,2014-07-14,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Jungle,
1A8j067qyiNwQnZT0bzUpZ,2019,This Girl (Kungs Vs. Cookin' On 3 Burners),78,2016-11-04,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Kungs,"Cookin' On 3 Burners, "
7GVUmCP00eSsqc4tzj1sDD,2019,Come and Get Your Love - Single Version,77,1973-11-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Redbone,
3cySlItpiPiIAzU3NyHCJf,2019,Problem,0,2014-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Ariana Grande,"Iggy Azalea, "
7sd72KZS8D59g5NmhxyHpJ,2019,Toast,69,2019-03-14,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Koffee,
7dltD9eEX7X1zk8JJ9BS0e,2019,Superstar (feat. Matthew Santos),65,2007-01-01,37i9dQZF1DX1g0iEXLFycr,Feel Good Friday,Lupe Fiasco,"Matthew Santos, "
02MWAaffLxlfxAUY7c5dvx,2017,Heat Waves,92,2020-08-06,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Glass Animals,
6Skh3CBum0pZw9TOr7FQnX,2017,Safe With Me (with Audrey Mika),73,2020-11-19,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Gryffin,"Audrey Mika, "
6SGG5AxHShqSYiV9fCWpZz,2017,Stay Next To Me (with Chelsea Cutler),69,2020-12-04,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Quinn XCII,"Chelsea Cutler, "
0YYg6U1Yrd4UjnG5iVhiXh,2017,Missing Piece,70,2021-05-21,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Vance Joy,
0zzVTGyRrWpQu8Fr28NRAv,2017,OK Not To Be OK,76,2020-09-10,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Marshmello,"Demi Lovato, "
2f0pn9DkEJwAzXApnFh5cr,2017,Someone To You,81,2019-10-04,37i9dQZF1DX3rxVfibe1L0,Mood Booster,BANNERS,
73M0rMVx5CWE8M4uATSsto,2017,seaside_demo,39,2021-05-17,37i9dQZF1DX3rxVfibe1L0,Mood Booster,SEB,
4rVW6XqAsSaf5vOwc8FREW,2017,Wild (feat. Gary Clark Jr.),73,2020-06-19,37i9dQZF1DX3rxVfibe1L0,Mood Booster,John Legend,"Gary Clark Jr., "
02VHspkXhhH1QCInRWWIfr,2017,Catching Feelings (feat. Six60),57,2019-09-04,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Drax Project,"SIX60, "
1yTTMcUhL7rtz08Dsgb7Qb,2017,The Bones - with Hozier,73,2019-10-04,37i9dQZF1DX3rxVfibe1L0,Mood Booster,Maren Morris,"Hozier, "
